Training Iterations; Lorentz , DerivLorentz , Sigmoid , Tanh , ReLU
37500.0;0.6603902472062378,0.15352664629936114,4.7360593967640483e-07
37600.0;0.6603602641202138,0.1535103148829412,4.7152344226231273e-07
37700.0;0.6603303748789724,0.15349430054375018,4.6945810883030404e-07
37800.0;0.6603005789105745,0.1534785945660981,4.6740973742558157e-07
37900.0;0.6602708756497269,0.1534631884613607,4.6537812919609775e-07
38000.0;0.660241264537653,0.15344807395931714,4.633630883340688e-07
38100.0;0.6602117450219677,0.15343324300026168,4.613644220199628e-07
38200.0;0.660182316556554,0.15341868772782133,4.5938194036626236e-07
38300.0;0.6601529786014442,0.1534044004824124,4.574154563640842e-07
38400.0;0.6601237306227022,0.1533903737952746,4.5546478582929573e-07
38500.0;0.6600945720923107,0.1533766003830228,4.53529747350905e-07
38600.0;0.6600655024880592,0.15336307314266256,4.5161016224019696e-07
38700.0;0.660036521293436,0.15334978514701642,4.497058544806898e-07
38800.0;0.6600076279975224,0.1533367296405136,4.478166506792927e-07
38900.0;0.659978822094889,0.15332390003529753,4.459423800191754e-07
39000.0;0.6599501030854948,0.15331128990761073,4.4408287421194394e-07
39100.0;0.6599214704745884,0.1532988929944187,4.422379674528802e-07
39200.0;0.6598929237726127,0.15328670319023813,4.4040749637552907e-07
39300.0;0.6598644624951098,0.1532747145441381,4.38591300007891e-07
39400.0;0.6598360861626295,0.15326292125688634,4.3678921972968416e-07
39500.0;0.6598077943006395,0.15325131767821484,4.350010992300757e-07
39600.0;0.6597795864394381,0.15323989830418233,4.3322678446623007e-07
39700.0;0.6597514621140677,0.15322865777461456,4.314661236234916e-07
39800.0;0.6597234208642321,0.15321759087060377,4.2971896707518664e-07
39900.0;0.659695462234213,0.1532066925120549,4.2798516734469005e-07
40000.0;0.6596675857727924,0.153195957755263,4.262645790665413e-07
40100.0;0.6596397910331718,0.1531853817905141,4.2455705895008155e-07
40200.0;0.6596120775728979,0.1531749599396987,4.228624657427486e-07
40300.0;0.6595844449537862,0.15316468765393276,4.211806601944469e-07
